EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	TRAIN_PRECISION	TRAIN_RECALL	TRAIN_F1	TRAIN_ACCURACY	TEST_LOSS	TEST_PRECISION	TEST_RECALL	TEST_F1	TEST_ACCURACY
121	21:42:26	3	0.0010	0.14573898710735103	0.9979	0.9979	0.9979	0.9979	0.6998358368873596	0.8564	0.8564	0.8564	0.8564
122	21:42:27	4	0.0010	0.14786331528939	0.9979	0.9979	0.9979	0.9979	0.6987993717193604	0.8564	0.8564	0.8564	0.8564
123	21:42:31	1	0.0005	0.11510551980908502	0.9979	0.9979	0.9979	0.9979	0.7025303840637207	0.8564	0.8564	0.8564	0.8564
124	21:42:32	2	0.0005	0.1272844628124264	0.9979	0.9979	0.9979	0.9979	0.7018179297447205	0.8564	0.8564	0.8564	0.8564
125	21:42:34	3	0.0005	0.14504391081311824	0.9979	0.9979	0.9979	0.9979	0.7014287114143372	0.8564	0.8564	0.8564	0.8564
126	21:42:35	4	0.0005	0.1432544566301372	0.9979	0.9979	0.9979	0.9979	0.7012145519256592	0.8564	0.8564	0.8564	0.8564
127	21:42:38	1	0.0002	0.1341586658767075	0.9979	0.9979	0.9979	0.9979	0.7027328610420227	0.8564	0.8564	0.8564	0.8564
128	21:42:40	2	0.0002	0.13779380823495643	0.9979	0.9979	0.9979	0.9979	0.7029336094856262	0.8564	0.8564	0.8564	0.8564
129	21:42:41	3	0.0002	0.14181321620716555	0.9979	0.9979	0.9979	0.9979	0.7028608322143555	0.8564	0.8564	0.8564	0.8564
130	21:42:43	4	0.0002	0.13049020286556465	0.9979	0.9979	0.9979	0.9979	0.7026013731956482	0.8564	0.8564	0.8564	0.8564
131	21:42:47	1	0.0001	0.15222121969574307	0.9979	0.9979	0.9979	0.9979	0.7030391693115234	0.8564	0.8564	0.8564	0.8564
132	21:42:48	2	0.0001	0.11188414003621056	0.9979	0.9979	0.9979	0.9979	0.7029098868370056	0.8564	0.8564	0.8564	0.8564
133	21:42:50	3	0.0001	0.13203695389778616	0.9979	0.9979	0.9979	0.9979	0.7028986215591431	0.8564	0.8564	0.8564	0.8564
134	21:42:51	4	0.0001	0.13546334624683526	0.9979	0.9979	0.9979	0.9979	0.7026236057281494	0.8564	0.8564	0.8564	0.8564
